,Hindi_key,Hindi_value,Punjabi_key,Punjabi_value
1,Please validate any error message before proceeding,"आगे बढ़ने से पहले, कृपया किसी गड़बड़ी वाले मैसेज की पुष्टि करें",,
2,Help us understand what’s wrong with the recording,"रिकॉर्डिंग में क्या गड़बड़ी है, यह समझने में हमारी मदद करें",,
5,Levels and Badging @BoloIndia,लेवल और बैज @बोलो इंडिया,,
7,Participate more to gain badges,बैज पाने के लिए और भागीदारी करें,,
9,"Level - ""X""","लेवल - ""X""",,
10,Contributions,योगदान,,
11,(Recording + Validating),(रिकॉर्डिंग + पुष्टि),,
13,"""X"" Senetences","""X"" वाक्य",,
20,Bronze Contributor,ब्रॉन्ज योगदानकर्ता,,
21,Silver Contributor,सिल्वर योगदानकर्ता,,
22,Gold Contributor,गोल्ड योगदानकर्ता,,
23,Platinum Contributor,प्लैटिनम योगदानकर्ता,,
25,"WoaaH!! You’ve earned your  ""1st""  Badge",शाबाश! आपने अपना 'पहला' बैज जीत लिया है,,
27,"Your next goal is to reach ""X"" sentences to unlock your ""Y"" Badge. ","अपना ""Y"" बैज जीतने के लिए आपका अगला लक्ष्य ""X"" वाक्यों तक पहुंचना है",,
29,"""x"" Sentences contributed","""X"" वाक्यों का योगदान किया गया",,
32,CERTIFICATE OF APPRECIATION,प्रशस्ति प्रमाणपत्र,,
33,"This is to certify that ""X"" has contributed towards development of open source repository for Hindi language.","यह प्रमाणित किया जाता है कि ""X"" ने हिंदी भाषा के लिए ओपन सोर्स रिपॉजिटरी तैयार करने में योगदान दिया है।",,
35,Ministry of Electronics and Information Technology,इलेक्ट्रॉनिक्स एवं सूचना प्रौद्योगिकी मंत्रालय,,
36,Government of India,भारत सरकार,,
38,You can select the language in which you want to participate,"आप जिस भाषा में योगदान देना चाहते हैं, उसे चुन सकते हैं",,
39,Next,आगे बढ़ें,,
41,You can change the language in which you want to read content,"आप जिस भाषा में कॉन्टेंट पढ़ना चाहते हैं, उस भाषा में बदल सकते हैं",,
44,Click on the card to start contributing your voice,अपनी आवाज़ का योगदान देना शुरू करने के लिए कार्ड पर क्लिक करें,,
45,Click on the card to validate what others have spoken,दूसरे लोगों ने जो बोला है उसकी पुष्टि करने के लिए कार्ड पर क्लिक करें,,
3,Speak: Contribute your voice,बोलें: अपनी आवाज़ का योगदान दें,,
4,Contribute your voice to create an open data repository of Indian languages,भारतीय भाषाओं का ओपन डेटा रिपॉज़िटरी तैयार करने के लिए अपनी आवाज़ का योगदान दें,,
5,"“X” hrs recorded in “Y""","""y"" में ""x"" घंटे रिकॉर्ड हुए",,
7,Listen: Validate what they say,पुष्टि करें: जो लिखा है क्या वही कहा जा रहा है,,
8,Help us by validating the recordings that others have contributed,दूसरे लोगों ने जो आवाज़ के नमूनों का योगदान किया है उनकी पुष्टि करने में हमारी मदद करें,,
9,"“X” hrs validated in ""Y""","""y"" में ""x"" घंटे की पुष्टि की गई",,
11,Bolo India: A crowdsourcing initiative for Indian languages,"""बोलो इंडिया"": भारतीय भाषाओं के लिए एक क्राउडसोर्सिंग पहल",,
12,"India needs to be Aatmanirbhar in the area of speech recognition in Indian languages. Hence, we want to create an open data repository of many Indian voices. Bolo India invites you to volunteer contribute your voice for this cause.","भारतीय भाषाओं में बोली पहचान के क्षेत्र में भारत को आत्मनिर्भर बनने की ज़रूरत है। इसलिए, हम कई प्रकार की भारतीय आवाज़ों का एक ओपन डेटा रिपॉज़िटरी बनाना चाहते हैं। इस मकसद को पूरा करने के लिए, ""बोलो इंडिया"" आपको अपनी आवाज़ का योगदान देने के लिए आमंत्रित करता है।",,
22,by number of speakers,वक्ताओं की संख्या के हिसाब से,,
0,Select your preferred language,अपनी पसंद की भाषा चुनें,,
4,More Languages,और भाषाएं,,
5,Other Languages,अन्य भाषाएं,,
